dataset,num_parties,epsilon,num_epochs,marginal_tv_avg,workload_error,ml_utility_f1,ml_logistic_regression_f1,ml_random_forest_f1,ml_gradient_boosting_f1,ml_mlp_f1,ml_decision_tree_f1,throughput_rps,comm_uncompressed_bytes,comm_compressed_bytes,comm_savings_pct,training_loss_final,elapsed_sec,epsilon_exp
adult,10,0.1,50,0.48752619047619045,1.0727784839698213,0.21387713711151152,0.12246403541128735,0.15789473684210525,0.2094240837696335,0.24356435643564356,0.3360384730988879,11547.996702699458,3375360,1067943,68.36061931171787,0.11199438323577245,249.42801475524902,0.1
adult,10,0.5,50,0.45157857142857144,0.9959059334072519,0.44678529000631545,0.3242395735340232,0.472630173564753,0.4833752444816988,0.5625,0.3911814584511023,11174.857593503386,3375360,1003464,70.27090443686006,0.11177978912989299,249.10649466514587,0.5
adult,10,1.0,50,0.4189869047619048,0.9607416932631544,0.3331050665414887,0.1883656509695291,0.3733483272420579,0.3242730720606827,0.43223633065561023,0.34730195177956374,11677.465822779875,3375360,956737,71.65526047591962,0.11011388566758898,247.86504411697388,1.0
adult,10,2.0,50,0.45046785714285714,0.9749000588061,0.3676220551116371,0.23806321452589105,0.30828516377649323,0.3463827121829001,0.46212313149227263,0.48325605358062856,11783.212470983062,3375360,920332,72.73381209708,0.10916660560501946,247.3343381881714,2.0
adult,10,5.0,50,0.44119404761904757,0.9529695821038286,0.30559491343516576,0.24254742547425473,0.29528455284552846,0.3312020460358056,0.33499688084840923,0.323943661971831,11643.424995294665,3375360,860091,74.51854024459614,0.10848594456911087,247.58512830734253,5.0
credit,10,0.1,50,0.16243409090909092,0.49211342407534336,0.050430710833910264,0.043831264819408106,0.05304455114052008,0.05378861609699319,0.04963729275008191,0.05185182936254805,11263.701632903523,4950720,1595537,67.7716170577209,0.18213842146926457,372.7948250770569,0.1
credit,10,0.5,50,0.1638715909090909,0.4758564169800058,0.05039147927437084,0.04479833925353034,0.052109605388823296,0.05393243843925964,0.04717554478432388,0.05394146850591702,11517.503744153108,4950720,1622899,67.21892977183117,0.18289421498775482,374.8108422756195,0.5
credit,10,1.0,50,0.1618090909090909,0.4593531610079164,0.04845667431056918,0.03798122756883039,0.050230913013655516,0.05117880722444271,0.047239390453735236,0.05565303329218205,11149.24902198614,4950720,1648922,66.69328905694525,0.17977477444542778,376.3044340610504,1.0
credit,10,2.0,50,0.16408409090909093,0.4479359288961105,0.05104647153223796,0.04344884726398947,0.047935303433363614,0.06008421028736362,0.05139845806238523,0.052365538614087825,10906.63618369251,4950720,1694828,65.76602999159718,0.18573198219140372,372.88093733787537,2.0
credit,10,5.0,50,0.1672795454545455,0.43291273938751484,0.04773613307570716,0.03576782463299406,0.04661783547208977,0.05108743002620847,0.04967900826712296,0.05552856698012054,11459.09244773773,4950720,1784573,63.95326336371275,0.17675616840521494,375.03242444992065,5.0
covertype,10,0.1,50,0.16245729166666667,0.4989386325940324,0.15700625937951126,0.1228773247601522,0.14605761991517344,0.14685687525076635,0.19242299220441325,0.1768164847670511,9533.302088310073,4515280,1495043,66.88925160787372,0.1808451943927341,338.15992522239685,0.1
covertype,10,0.5,50,0.15975833333333334,0.47242278858536346,0.16498920412348098,0.13139616314315022,0.15486933870924272,0.15507312446410004,0.1988550851168212,0.18475230918409058,9648.734678797948,4515280,1550015,65.67178558140358,0.18392250935236612,337.55985927581787,0.5
covertype,10,1.0,50,0.16227187499999998,0.46599195186194164,0.16397168545116242,0.14174069056294894,0.1599448435620065,0.15124017028981762,0.181773938888206,0.18515878395283303,9083.798355159002,4515280,1574382,65.13212912598998,0.18311838805675507,337.39629578590393,1.0
covertype,10,2.0,50,0.15905208333333334,0.44884684149380943,0.16336386924396004,0.1348611741716148,0.15059479446115082,0.15517457256377803,0.1905817571523429,0.18560704787091367,9932.784504274174,4515280,1609905,64.34540050672383,0.18074069751633537,336.4798104763031,2.0
covertype,10,5.0,50,0.16087708333333334,0.42561042464485044,0.1616185423533128,0.1317726240539079,0.15175303949297686,0.14684493604126986,0.1916252668717139,0.1860968453066953,9351.917193593621,4515280,1725923,61.775947449549086,0.17794745498233372,336.3500599861145,5.0
